0.00	X
0.05	C
0.12	B
0.18	C
0.39	B
0.53	C
0.60	G
0.67	B
0.81	C
1.02	X
1.67	B
1.94	D
2.19	C
2.26	B
2.57	F
2.64	B
2.71	F
2.99	A
3.07	E
3.21	B
3.28	E
3.42	X
3.95	B
4.11	C
4.25	B
4.46	F
4.53	B
4.74	A
4.84	B
5.00	F
5.07	B
5.28	F
5.35	C
5.42	B
5.56	G
5.63	C
5.77	B
5.84	G
5.91	X
6.33	C
6.54	A
6.62	B
6.70	C
6.77	A
6.85	C
7.02	B
7.65	F
7.79	C
7.86	G
7.93	B
8.00	A
8.08	C
8.23	B
8.30	C
8.37	B
8.51	C
8.58	A
8.66	C
8.78	F
8.99	C
9.13	B
9.41	C
9.48	G
9.55	B
9.69	A
9.77	E
10.02	B
10.09	X
10.67	H
10.74	B
10.94	E
11.08	C
11.15	A
11.23	C
11.28	B
11.47	C
11.54	A
11.62	B
11.74	C
11.88	B
12.02	C
12.27	E
12.34	F
12.58	B
12.65	E
12.72	F
13.00	C
13.07	B
13.28	C
13.35	G
13.42	B
13.63	X
14.14	C
14.37	B
14.79	C
14.93	B
15.28	F
15.42	B
15.49	A
15.57	C
15.67	E
15.81	F
15.95	A
16.03	C
16.10	E
16.17	A
16.25	D
16.40	B
16.68	X
17.15	B
17.28	F
17.49	E
17.56	F
17.63	B
17.91	D
18.12	C
18.40	B
18.61	C
18.68	B
18.75	C
18.89	B
18.96	F
19.03	B
19.10	G
19.17	B
19.24	A
19.32	E
19.39	F
19.46	B
19.67	C
19.81	B
20.51	C
20.58	E
20.86	B
21.14	X
21.60	C
21.68	E
21.89	B
22.03	F
22.17	B
22.24	D
22.34	C
22.38	A
22.46	B
22.52	D
22.60	C
22.64	A
22.72	B
22.88	C
22.95	G
23.02	B
23.23	C
23.44	B
23.69	C
23.78	B
23.92	F
23.99	B
24.20	C
24.27	G
24.34	F
24.69	B
25.13	C
25.20	B
25.27	G
25.34	E
25.48	B
25.69	C
25.90	A
25.98	B
26.14	A
26.22	C
26.35	B
26.42	C
26.63	G
26.70	B
26.84	G
26.91	B
27.47	A
27.55	E
27.70	B
27.77	C
28.05	B
28.40	C
28.47	B
28.61	C
28.75	A
28.83	B
28.90	C
29.03	B
29.31	C
29.38	G
29.45	B
29.73	X
30.21	C
30.31	B
30.45	E
30.52	F
30.59	C
30.66	B
30.80	C
30.94	B
31.11	C
31.18	B
31.31	F
31.38	C
31.45	E
31.52	F
31.66	E
31.80	B
32.01	G
32.08	B
32.29	A
32.37	B
32.67	C
32.88	B
33.44	D
33.58	F
33.86	X
34.47	B
34.76	X
35.22	B
35.29	C
35.35	F
35.56	G
35.63	E
35.70	F
35.77	D
35.91	B
36.33	X
36.77	B
37.06	F
37.41	B
37.48	A
37.56	E
37.66	B
37.94	C
38.01	B
38.15	E
38.36	G
38.57	X
39.05	X
